"%s and greater","%s and greater"
"Advanced Search","Advanced Search"
"Applies for ""Like"" Search type only","Applies for ""Like"" Search type only"
"Apply Layered Navigation if search results are less than","Apply Layered Navigation if search results are less than"
"Required Fields","Archivos Requeridos"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Autogenerated site map","Autogenerated site map"
"Search","Búsqueda"
"Catalog Advanced Search","Búsqueda avanzada de catálogo"
"Search Site","Buscar en el Sitio"
"Search entire store here...","Buscar en toda la tienda..."
"Search results for '%s'","Buscar resultados para'%s'"
"Search results for: '%s'","Buscar resultados para: '%s'"
"Catalog Search","Catalog Search"
"Don't see what you're looking for?","Don't see what you're looking for?"
"Go","Go"
"Grid","Grid"
"Home","Inicio"
"Go to Home Page","Ir a Inicio"
"List","Lista"
"Maximum Query Length","Maximum Query Length"
"Maximum Query Words Count","Maximum Query Words Count"
"Maximum Search query  length is %s. Your query was cut.","Maximum Search query  length is %s. Your query was cut."
"Minimal Query Length","Minimal Query Length"
"Modify your search","Modify your search"
"No","No"
"No items were found using the following search criteria.","No items were found using the following search criteria."
"No items were found using the following search criteria.","No items were found using the following search criteria."
"Name","Nombre"
"Search Settings","Opciones de Búsqueda"
"Please enter ""0"" to enable layered navigation for any number of results","Please enter ""0"" to enable layered navigation for any number of results"
"Popular search terms","Popular search terms"
"Popular Search Terms","Popular Search Terms"
"Price","Precios"
"Relevance","Relevance"
"Results","Resultados"
"Search Terms","Search Terms"
"Search Type","Search Type"
"Your search returns no results.","Su búsqueda no ha devuelto resultados."
"Subscribe to Feed","Subscribe to Feed"
"There are no search terms available.","There are no search terms available."
"All","Todos"
"up to %s","up to %s"
"Yes","Yes"
"You have to specify at least one search term","You have to specify at least one search term"
