"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Enlace</a>"
"Access denied to destination folder ""%s""","Acceso denegado a la carpeta de destino ""%s"""
"Declared adapter %s not found","Adaptador declarado %s no se encuentra"
"File ""%s"" don't exist","Archivo ""%s"" no existe"
"Error field mapping! Fields list for mapping is not defined","¡Error mapeando los archivos! La lista de archivos a mapearse no está definida"
"Loaded successfully: ""%s""","Cargado correctamente: ""%s"""
"Destination folder ""%s"" does not exist or not access to create","Carpeda de Destino ""%s"" no existe o no se permite crear"
"Destination folder ""%s"" is not a directory","Carpeta Destino ""%s"" no es un directorio"
"Destination folder ""%s"" is not a writeable","Carpeta Destino ""%s"" no tiene permisos de escritura"
"Starting %s :: %s","Comenzar %s :: %s"
"Dry run set, stopping execution","Configuración Simulada, detener la ejecución"
"Found %d rows","Encontradas %d filas"
"Error occured during file opening: ""%s""","Error ocurrido al abrir el archivo: ""%s"""
"ETA: %s","ETA: %s"
"Saved successfully: ""%s"" [%d byte(s)]","Grabados correctamente: ""%s"" [%d byte(s)]"
"Done","Hecho"
"Sheet 1","Hoja 1"
"hour","hora"
"hours","horas"
"Method ""%s"" not defined in adapter %s","Método ""%s"" no está definido en el adaptador %s"
"Memory Used: %s","Memoria Usada: %s"
"Less than a minute","Menos de un minuto"
"minute","minuto"
"minutes","minutos"
"Could not load file: ""%s""","No se puede cargar el archivo: ""%s"""
"Could not save file: %s","No se puede grabar el archivo: %s"
"Please declare ""adapter"" and ""method"" node first","Por favor declarar nodo ""adaptador"" y ""método"" primero"
"Processed records: %s","Procesando registros: %s"
"Skip undefined row","Saltar filas indefinidas"
"Total records: %s","Total de registros: %s"
