"-- Please select --","-- Please select --"
"Allowed currencies","Allowed currencies"
"Base currency","Base currency"
"Invalid country code: %s","Código de país inválido: %s"
"Continue &raquo;","Continuar &raquo;"
"Country","Country"
"Country and Format Type combination should be unique","Country and Format Type combination should be unique"
"Country Api","Country Api"
"Currency Options","Currency Options"
"Currency Setup","Currency Setup"
"Currency Update Warnings","Currency Update Warnings"
"Currency will be used for all online payment transactions","Currency will be used for all online payment transactions"
"Default display currency","Default display currency"
"Directory","Directory"
"Enabled","Enabled"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Error Email Sender"
"Error Email Template","Error Email Template"
"State/Province","Estado/Provincia"
"FATAL ERROR:","FATAL ERROR:"
"Frequency","Frequency"
"Installed Currencies","Installed Currencies"
"Invalid Import Service Specified","Invalid Import Service Specified"
"Invalid rates received","Invalid rates received"
"Invalid target currency","Invalid target currency"
"List of countries","List of countries"
"List of regions in specified country","List of regions in specified country"
"Currency","Moneda"
"Cannot retrieve rate from %s","No se puede recuperar la tasa desde %s"
"Region","Region"
"Region Api","Region Api"
"Remove space from currency sign","Remove space from currency sign"
"Scheduled Import Settings","Scheduled Import Settings"
"Select Your Currency","Seleccione su Moneda"
"Service","Service"
"Start Time","Start Time"
"Strikeiron Email Update Warnings","Strikeiron Email Update Warnings"
"Your current currency is: %s","Su moneda actual es: %s"
"Undefined rate from ""%s-%s""","Tasa no definida en ""%s-%s"""
"Unable to initialize import model","Unable to initialize import model"
"WARNING:","WARNING:"
