"To:","A:"
"Add New Row","Añadir nueva fila"
"Open Links in New Window","Abrir enlaces en nueva ventana"
"attachment","adjunto"
"File","Archivo"
"File does not exists","Archivo no existe"
"Back","Atrás"
"Canceled","Cancelado"
"Start Download","Comenzar Descarga"
"Shareable","Compartido"
"Guest checkout will only work with shareable","Compra como invitado solamente trabaja con compartido"
"From:","De:"
"Disable Guest Checkout if cart contains downloadable items","Desactivar Comprar como invitado si el carro contiene artículos que se descargan"
"download","descarga"
"Max. Downloads","Descargas Max."
"Shipped","Despachado"
"Availability: In stock.","Disponibilidad: Con Existencia."
"Availability: Out of stock.","Disponibilidad: Sin Exisstencia."
"Link has expired.","El enlace ha vencido."
"Link is not available.","El enlace no está disponible."
"inline","en línea"
"Requested link doesn't exist.","Enlace solicitado no existe."
"Remaining Downloads","Esperando Descarga"
"Remaining Downloads","Esperando Descarga"
"Invalid download URL scheme","Esquema de Descarga URL incorrecto"
"Status","Estado"
"Status","Estado"
"Order Item Status to enable Downloads","Estado del Item del pedido para activar descargas"
"Invoiced","Facturado"
"Date","Fecha"
"Date","Fecha"
"Invalid download URL host","Host de desgarga incorrecto"
"Unlimited","Ilimitado"
"Incl. Tax","Impuesto Incluído"
"Downloadable Information","Información para Descargar"
"Go to <a href=""%s"">My Downloadable Products</a>","Ir a <a href=""%s"">Mis productos para descargar</a>"
"Sorry, the was an error getting requested content. Please contact store owner.","Lo sentimos, se ha producido un error al obtener el contenido solicitado. Póngase en contacto con el dueño."
"Sorry, there was an error getting requested content. Please contact store owner.","Lo sentimos, se ha producido un error obteniendo el contenido solicitado. Póngase en contacto con el dueño."
"Links can be purchased separately","Los enlaces pueden ser comprados por separado"
"Default Maximum Number of Downloads","Máximo número de descargas por defecto"
"Gift Message","Mensaje del Regalo"
"Message:","Mensaje:"
"My Downloadable Products","Mis Productos para descargar"
"My Downloadable Products","Mis Productos para descargar"
"Sample","Muestra"
"sample","muestra"
"Can't connect to remote host, error: %s","No se puede conectar al Servidor remoto, error: %s"
"You have no Downloadable Products.","No tiene productos para descargar."
"An error occurred while saving the file(s).","Ocurrió un error cuando se grababa el archivo(s)."
"Downloadable Product Options","Opciones de Producto para descarga"
"Sort Order","Ordenar Pedidos"
"Ordered","Pedido"
"Order #","Pedido #"
"Order #","Pedido #"
"Pending","Pendiente"
"Please set resource file and link type","Por favor configure recursos de archivo y tipo de enlace"
"Please specify product link(s).","Por favor especifique enlace(s) del producto."
"Please log in to download your product.","Por favor ingrese al sitio para descargar su producto."
"Price","Precio"
"Downloadable Product","Producto para Descarga"
"Refunded","Reembolsado"
"Remove item","Retirar item"
"Downloadable product Section","Sección de Productos para descarga"
"Excl. Tax","Sin Impuestos"
"Title","Título"
"Title","Título"
"Default Sample Title","Título de muestra por defecto"
"Default Link Title","Título del enlace por defecto"
"Invalid download link type","Tipo de enlace de descarga incorrecto"
"U","U"
"View Order","Ver Pedido"
