"Attribute with the same code","Atributo con el mismo código"
"Attribute '%s' used in configurable products.","Attribute '%s' used in configurable products."
"Attribute set with the ""%s"" name already exists","Attribute set with the ""%s"" name already exists"
"Attribute used in configurable products.","Attribute used in configurable products."
"Valid store_id is expected!","¡Se espera un id de tienda válido!"
"Invalid character encountered in increment ID: %s","Caracter incorrecto encontrado en el incremento de ID: %s"
"Invalid data object key","Clave de datos de objeto inválida"
"Invalid foreign key","Clave incorrecta"
"EAV types and attributes","EAV types and attributes"
"Entity is not initialized","Entidad no inicializada"
"Entity collection expected","Entity collection expected"
"Entity collections expected","Entity collections expected"
"Invalid entity supplied","Entregada una entidad incorrecta"
"Failed to load node %s from config.","Failed to load node %s from config."
"Wrong attribute ID","ID de atributo incorrecto"
"Wrong entity ID","ID de entidad erróneo"
"Wrong attribute group ID","ID de grupo de atributos erróneo"
"Wrong attribute set ID","ID de set de atributos erroneo"
"Data integrity: No header row found for attribute","Integridad de datos: No se encontró cabecera para el atributo"
"Attempt to add an invalid object","Intentando añadir un objeto incorrecto"
"Invalid alias, already exists in joined attributes","Invalid alias, already exists in joined attributes"
"Invalid entity specified","Invalid entity specified"
"Invalid entity supplied: %s","Invalid entity supplied: %s"
"Invalid entity_id, skipping the record","Invalid entity_id, skipping the record"
"Invalid entity_type specified: %s","Invalid entity_type specified: %s"
"Invalid joined fields","Invalid joined fields"
"Invalid store specified","Invalid store specified"
"Joined field or attribute expression with this alias is already declared","Joined field or attribute expression with this alias is already declared"
"Joined field with this alias (%s) is already declared","Joined field with this alias (%s) is already declared"
"Frontend label is not defined","La etiqueta de frontend no está definida"
"Default option value is not defined","La opción por defecto no está defedinida"
"Joined field with this alias is already declared","La unión del campo con el alias ya está declarada"
"Loaded %d records","Loaded %d records"
"No","No"
"No options found in config node %s","No options found in config node %s"
"Invalid attribute name: %s","Nombre de atributo incorrecto: %s"
"Unknown parameter","Parámetro desconocido"
"Invalid attribute requested: %s","Petición de atributo incorrecto: %s"
"Problem loading a record, aborting. Error: %s","Problem loading a record, aborting. Error: %s"
"Problem loading the collection, aborting. Error: %s","Problem loading the collection, aborting. Error: %s"
"Problem saving a record, aborting. Error: ","Problem saving a record, aborting. Error: "
"Problem saving the collection, aborting. Error: %s","Problem saving the collection, aborting. Error: %s"
"Saved ","Saved "
"Scope must not be changed, because the attribute is used in configurable products.","Scope must not be changed, because the attribute is used in configurable products."
"Yes","Si"
"The attribute code '%s' is reserved by system. Please, try another attribute code.","The attribute code '%s' is reserved by system. Please, try another attribute code."
"Invalid attribute type","Tipo de atributo incorrecto"
"Invalid entity type","Tipo de entidad incorrecto"
"Value of attribute ""%s"" must be unique","Valor de atributo ""%s"" debe ser único"
