"-- Please Select --","-- Elija Por favor --"
"Enable","Activar"
"Attributes","Atributos"
"Shopping Cart","Carro de Compras"
"Control Script","Control del Script"
"Please copy and paste this value to experiment edit form","Copie y Pegue este valor para experimentar en la edición del formulario"
"Limit is 8 attributes only.","El límite es solamente 8 atributos."
"Please select store view to see the URL","Elija la Vistade  Tienda para ver la URL"
"Install Scripts","Instalar Scripts"
"Multi Address Checkout","Multi Address Checkout"
"One Page Checkout","One Page Checkout"
"Category View Optimization","Optimización Categoría Ver"
"Page View Optimization","Optimización de Vista de Página"
"Product View Optimization","Optimización de Vista de Producto"
"Google Website Optimizer","Optimizador de Sitio Web Google"
"Other","Otro"
"Conversion Page","Página de Conversión"
"Original Page","Página Original"
"Variant Page","Página Variante"
"Order Success (Multi Address Checkout)","Pedido Correcto (Multi Address Checkout)"
"Order Success (One Page Checkout)","Pedido Correcto (One Page Checkout)"
"Account Registration","Registro de Cuenta"
"Conversion Script","Script de Conversión"
"Tracking Script","Script de seguimiento"
"Google Optimizer Scripts","Scripts de Optimización Google"
"All fields of script types have to be filled.","Se deben llenar todos los campos del tipo de script"
"Page Type","Tipo de Página"
"Conversion Page URL","URL de la Página de Conversión"
"Scripts Install URL","URl del Instalador de los Scripts"
"Use Default","Usar por Defecto"
"Use Default Values","Usar valores por defecto"
