"%s Item(s)","%s Producto(s)"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Magento Demo Store. All Rights Reserved."
"(ver. %s)","(ver. %s)"
"Items %s to %s of %s total","<strong>%s</strong> Productos de <strong>%s</strong> <strong>%s</strong> totales"
"You're currently on:","Ahora está en:"
"Help Us to Keep Magento Healthy","Ayúdenos a mantener Magento saludable"
"Close Window","Cerrar ventana"
"Click <a href=""%s"">here</a> if nothing has happened","Click <a href=""%s"">here</a> if nothing has happened"
"Default Description","Default Description"
"Default welcome msg!","Default welcome msg!"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Esta es una tienda de demostración. Cualquier pedido realizado a través de ésta tienda no será tenido en cuenta ni despachado."
"Report All Bugs","Informar todos los errores"
"Interface Language","Interface Language"
"Skip to Main Content","Ir a la página principal"
"Show","Mostrar"
"Previous Page","Página previa"
"Next Page","Página siguiente"
"Page:","Página:"
"per page","por página"
"Redirecting...","Redirecting..."
"Select Store","Select Store"
"Skip to Footer","Skip to Footer"
"Skip to Left Column","Skip to Left Column"
"Skip to Right Column","Skip to Right Column"
"Welcome, %s!","Welcome, %s!"
"Your Language","Your Language"
"Your Language:","Your Language:"
"Your Language:","Your Language:"
