"Enabled","Activado"
"API Login ID","API Login ID"
"Authorize and Capture","Authorize and Capture"
"Authorize Only","Authorize Only"
"Authorize.net","Authorize.net"
"Transaction key","Clave de Transacción"
"Password","Contraseña"
"Merchant's email","Correo del Comerciante"
"Email customer","Correo Electrónico del Cliente"
"Debug","Depurar"
"Error in retrieving the transaction","Error al obtener la transacción"
"Gateway request error: %s","Error al solicitar pasarela: %s"
"Payment authorization error.","Error de autorización del Pago."
"Error in authorizing the payment","Error en la autorización del pago"
"Error in capturing the payment","Error en la captura del pago"
"Error in refunding the payment","Error en la devolución de fondos del pago"
"Error in refunding the payment.","Error en la devolución de fondos del pago."
"Error in payment gateway","Error en la pasarela de pago"
"Fraud order status","Estado de Fraude del Pedido"
"New order status","Estado del Nuevo Pedido"
"Proxy Host","Host Proxy"
"Invalid transaction id","ID de la transacción incorrecto"
"Merchant Login","Ingreso del Comerciante"
"Payment authorization transaction has been declined.","La autorización del pago se ha cancelado."
"Test mode","Modo de Prueba"
"Invalid amount for authorization","Monto incorrecto para autorización"
"Invalid amount for authorization.","Monto incorrecto para autorización."
"TENDER","OFERTA"
"Voided transaction","Operación anulada"
"Sort order","Ordenar Pedido"
"Payment from applicable countries","Pagos para países elegibles"
"Payment from Specific countries","Pagos para paísess específicos"
"Partner","Partner"
"Payflow Pro","Payflow Pro"
"Payment Action","Payment Action"
"Proxy Port","Puerto Proxy"
"Title","Título"
"Credit Card Types","Tipos de Tarjetas de Crédito"
"Maximum Order Total","Total máximo del pedido"
"Minimum Order Total","Total mínimo del pedido"
"URL","URL"
"Use Proxy","Usar Proxy"
"User","Usuario"
"VERBOSITY","VERBORREA"
"Credit Card Verification","Verificación de la Tarjeta de Crédito"
