"Add to Compare","Añadir a la comparación"
"Add to Cart","Añadir al carro"
"Add to Wishlist","Añadir al Listado"
"Year","Año"
"Action","Acción"
"Updated at","Actualizado el"
"Last Name","Apellido"
"Applied Coupon","Aplicar cupón"
"Items in Cart","Artículos en Carro"
"Items Ordered","Artículos Pedidos"
"Last Review","Última Revisión"
"Quantity of Items","Cantidad de Artículos"
"Stock Qty","Cantidad en Existencia"
"Quantity Ordered","Cantidad Pedida"
"Shopping Cart","Carro de Compras"
"Carts","Carros"
"Abandoned carts","Carros Abandonados"
"Customer","Cliente"
"Customers","Clientes"
"Customers by number of orders","Clientes por número de pedidos"
"Customers by orders total","Clientes por total de pedidos"
"Customers that have wishlist: %s%","Clientes que tienen Listados: %s%"
"Bought from wishlists","Comprado desde Listados"
"Purchases","Compras"
"Default Recently Compared Products count","Contador por defecto de Productos Recientemente Comparados"
"Default Recently Viewed Products count","Contador por defecto de Productos recientemente vistos"
"Email","Correo Electrónico"
"Created at","Creado el"
"CSV","CSV"
"New Accounts","Cuentas Nuevas"
"Coupons","Cupones"
"Day","Día"
"Downloads","Descargas"
"Discounts","Descuentos"
"Shipping","Despacho"
"Detail","Detalle"
"Tag Detail","Detalle de la Etiqueta"
"Tag ""%s"" details","Detalles de la Etiqueta ""%s"""
"Link","Enlace"
"Submitted On","Envíado el"
"Submitted In","Envíado en"
"Tag","Etiqueta"
"Customers Tags","Etiquetas de  Clientes"
"Products Tags","Etiquetas de Productos"
"Product Tags","Etiquetas de Productos"
"Customer Tags","Etiquetas del Cliente"
"Tags submitted to %s","Etiquetas envíadas a %s"
"Tags submited by %s","Etiquetas envíadas por %s"
"Popular Tags","Etiquetas más Populares"
"Excel","Excel"
"Invoiced","Facturados"
"Invalid date specified","Fecha especificada incorrecta"
"ID","ID"
"Tax","Impuesto"
"Revenue","Ingresos"
"Guest","Invitados"
"Wishlists","Listados"
"Wishlist vs. Regular Order","Listados vs. Pedidos Regulares"
"Bestsellers","Más Vendidos"
"Most viewed","Más Vistos"
"Most Viewed","Más Vistos"
"Carrier/Method","Método/Despacho"
"Month","Mes"
"Tax Amount","Monto del Impuesto"
"Show for Current","Mostrar para el actual"
"Number Added","Número de Adiciiones"
"Number of Items","Número de Artículos"
"Number of items bought from a wishlist: %s","Número de artículos comprados desde un Listado: %s"
"Number Purchased","Número de Comprados"
"Number of wishlist conversions: %s","Número de conversiones de Listados: %s"
"Number Fulfilled","Número de Cumplidos"
"Number of Unique Tags","Número de Etiquetas únicas"
"Number of wishlists: %s","Número de Listados: %s"
"Number of New Accounts","Número de Nuevas Cuentas"
"Number of Orders","Número de Pedidos"
"Number of Refunded Orders","Número de Pedidos Devueltos"
"Number of Ivoiced Orders","Número de Pedidos Facturados"
"Number of Reviews","Número de Revisiones"
"Number Of Reviews","Número de Revisiones"
"Number Of Uses","Número de Usos"
"Number Of Historical Uses","Número de Usos Históricos"
"Number of times deleted","Número de veces borrado"
"Number of times wishlists have been shared (emailed): %s","Número de veces que un listado ha sido compartido (enviado por correo): %s"
"Number of Views","Número de vistas"
"Number Viewed","Número de Vistos"
"Number of Total Tags","Número Total de Etiquetas"
"Number of wishlist referrals: %s","Números de referentes de Listados: %s"
"Name","Nombre"
"First Name","Nombre"
"Tag Name","Nombre de la Etiqueta"
"Product Name","Nombre de Producto"
"Customer Name","Nombre del Cliente"
"Orders","Pedidos"
"Low stock","Poca Existencia"
"Popularity","Popularidad"
"Price","Precio"
"Products","Productos"
"Products in carts","Productos en Carros"
"Recently Compared Products","Productos Recientemente Comparados"
"Recently Viewed Products","Productos Vistos Recientemente"
"Avg. rating","Promedio de calificaciones"
"Avg. approved rating","Promedio de Calificaciones aprobadas"
"Refunded","Reembolsado"
"Online Refunded","Reembolsado en línea"
"Offline Refunded","Reembolsado fuera de línea"
"Customers Report","Reporte de Clientes"
"Wishlist Report","Reporte de Listados"
"Poducts Report","Reporte de Poductos"
"Products Report","Reporte de Productos"
"Sales Report","Reporte de Ventas"
"Reports","Reportes"
"Results","Resultados"
"Reviews","Revisados"
"Review","Revisar"
"Customers Reviews","Revisiones de Clientes"
"Products Reviews","Revisiones de Productos"
"Product Reviews","Revisiones de Productos"
"Reviews for %s","Revisiones para %s"
"Out of stock","Sin Existencia"
"Product Sku","SKU del Producto"
"Subtotal","Subtotal"
"Your Recently Compared","Sus comparaciones recientes"
"Your Recently Viewed","Sus visitas recientes"
"Rate","Tasa"
"Search Terms","Términos de Búsqueda"
"Title","Título"
"Total","Total"
"Total Tags","Total de Etiquetas"
"Total Shipping","Total Despachado"
"Total Refunded","Total Devuelto"
"Total refunded","Total devuelto"
"Total Invoiced","Total Facturado"
"Total invoiced","Total facturado"
"Total Invoiced Captured","Total Facturado Capturado"
"Total Invoiced not Captured","Total Facturado no Capturado"
"Tag use","Uso de la Etiqueta"
"Sales","Ventas"
"Visible In","Visible en"
"Hits","Visitas"
"Recently Viewed/Compared Products","Vistos Recientemente/Productos Comparados"
