"Add Sitemap","Añadir Mapa del Sitio"
"Action","Acción"
"Enabled","Activado"
"Sitemap generate Warnings","Advertencias de la Generación del Mapa del Sitio"
"Yearly","Anualmente"
"Please make sure that ""%s"" is writable by web-server.","asegúrese que ""%s"" tiene permisos de escritura para el servidor web."
"Last Time Generated","Última Hora de creación"
"Hourly","Cada Hora"
"Generation Settings","Configuraciones de la Generación"
"Error Email Recipient","Destinatario del Correo de Error"
"Daily","Diariamente"
"Edit Sitemap","Editar Mapa del Sitio"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","El archivo ""%s"" no se puede grabar. Asegúrese que el directorio ""%s"" tiene permisos de escrituta para el servidor web."
"Valid values range from 0.0 to 1.0","El rango de Valores válidos está entre 0.0 y 1.0"
"Link for Google","Enlace para Google"
"This sitemap no longer exists","Este mapa de sitio no existe"
"Frequency","Frecuencia"
"Generate","Generar"
"Google Sitemap","Google Sitemap"
"Start Time","Hora de Inicio"
"ID","ID"
"Priority must be between 0 and 1","La Prioridad debe ser un número entre 0 y 1"
"Sitemap","Mapa del Sitio"
"Sitemap ""%s"" has been successfully generated","Mapa del Sitio ""%s"" ha sido generado correctamente"
"Sitemap was successfully deleted","Mapa del Sitio fue borrado correctamente"
"Sitemap was successfully saved","Mapa del Sitio fue grabado correctamente"
"Monthly","Mensualmente"
"Unable to find a sitemap to delete","No se puede encontrar el mapa del sitio para borrarlo"
"Unable to find a sitemap to generate","No se puede encontrar el mapa el sitio para generarlo"
"Unable to generate a sitemap","No se puede generar el mapa del sitio"
"Filename","Nombre de archivo"
"New Sitemap","Nuevo Mapa del Sitio"
"Never","Nunca"
"Categories Options","Opciones de Categorías"
"CMS Pages Options","Opciones de Página CMS"
"Products Options","Opciones de Productos"
"Error Email Template","Plantilla del Correo de Error"
"Please create the specified folder ""%s"" before saving the sitemap.","Por favor crear la carpeta especificada ""%s"" antes de guardar el Mapa del Sitio."
"Please define correct path","Por favor defina la ruta correcta"
"Priority","Prioridad"
"Error Email Sender","Remitente del Correo de Error"
"Path","Ruta"
"Google Sitemap Section","Sección Google Sitemap"
"Weekly","Semanalmente"
"Always","Siempre"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Usar solamente letras (a-z or A-Z), números (0-9) o guión bajo (_) en el nombre de archivo. No se permiten espacios u otros caracteres."
"Store View","Vista de Tienda"
